ident,icao_id,name,servcity,state,lat,lon,elevation,n_runways,longest_runway_ft,n_runways_over_7000ft,global_id
GUC,KGUC,Gunnison-Crested Butte Rgnl,GUNNISON,CO,38.53433333333333,-106.93175000000001,7679.6,2,9400,1,4F575B29-1D79-4C44-87DA-130325C8BC2D
HDN,KHDN,Yampa Valley,HAYDEN,CO,40.48119444444445,-107.21766666666667,6606.3,1,10000,1,211CCED1-D192-4B90-BC76-07F8373C1874
MTJ,KMTJ,Montrose Rgnl,MONTROSE,CO,38.50980555555556,-107.89425,5758.5,2,10000,2,300CC9CA-EA12-4876-BD12-EA2544E1F013
PSO,KPSO,Stevens Fld,PAGOSA SPRINGS,CO,37.28624861111111,-107.05600888888888,7663.3,1,8100,1,4593AE17-A8D1-44DA-9A79-8125E23BDFEE
PUB,KPUB,Pueblo Meml,PUEBLO,CO,38.2899475,-104.49802805555555,4729.3,3,10498,2,445FDC04-FBE0-4C81-BFF1-BC7C794A3C00
RIL,KRIL,Rifle Garfield County,RIFLE,CO,39.526606666666666,-107.72798694444445,5536.8,1,7000,1,EAB85173-20ED-4BEC-873D-45F39AD8E528
04V,,Saguache Muni,SAGUACHE,CO,38.09939444444445,-106.17432777777778,7850.0,1,7957,1,C09D3EC7-7EA4-49DA-A230-E6C437B0782F
ANK,KANK,Salida/Harriett Alexander Fld,SALIDA,CO,38.53827777777778,-106.04863888888889,7523.0,2,7351,1,1705FB5E-014C-42B1-9C4F-BAACF0D99A41
TEX,KTEX,Telluride Rgnl,TELLURIDE,CO,37.95380555555556,-107.90875000000001,9069.7,1,7111,1,2E1D5EE6-1003-453B-ADDA-17A1D555C7C9
BDL,KBDL,Bradley Intl,WINDSOR LOCKS,CT,41.93903222222222,-72.68431583333334,173.3,2,9510,1,C8C24AC1-D558-4BB9-92F8-E01B93840ABF
DCA,KDCA,Ronald Reagan Washington Ntl,WASHINGTON,DC,38.851440277777776,-77.03772138888888,14.1,4,7169,1,96204F8C-A545-4DF9-943D-5472C5BC1697
DOV,KDOV,Dover AFB,DOVER,DE,39.12953888888889,-75.46596111111111,28.9,2,12903,2,5742570F-73AB-494D-8BD7-629D84BE4D3D
ILG,KILG,New Castle,WILMINGTON,DE,39.67870972222222,-75.606635,79.9,3,7275,2,E49D92B0-9123-4A8F-8AF4-A057B2FB3192
IAD,KIAD,Washington Dulles Intl,WASHINGTON,DC,38.94745638888889,-77.45992861111111,312.3,4,11500,4,68B8FC26-3117-4301-878B-799F22A0363D
BKV,KBKV,Brooksville-Tampa Bay Rgnl,BROOKSVILLE,FL,28.473458055555554,-82.45606500000001,76.1,2,7001,1,C96C9CD7-7183-4A97-AC7F-8DF330FD4DB6
CEW,KCEW,Bob Sikes,CRESTVIEW,FL,30.77883111111111,-86.52211277777778,213.5,1,8006,1,CCDF1C51-6530-4455-887F-AD28A8747D10
DAB,KDAB,Daytona Beach Intl,DAYTONA BEACH,FL,29.17990888888889,-81.05804222222221,34.2,3,10500,1,7005287A-7ADE-4969-A74E-C3795A8F93E3
FLL,KFLL,Fort Lauderdale/Hollywood Intl,FORT LAUDERDALE,FL,26.071666666666665,-80.14969444444445,65.0,2,9000,2,5A5A4C23-2EDC-4608-8B54-3CE1C8AB7DE0
RSW,KRSW,Southwest Florida Intl,FORT MYERS,FL,26.53616388888889,-81.755155,29.9,1,12000,1,AB26798F-B877-488F-BEE2-712E8A02945C
JAX,KJAX,Jacksonville Intl,JACKSONVILLE,FL,30.494045555555555,-81.68784666666667,29.6,2,10000,2,E2E20781-927D-4930-B08E-27A9C0FE0984
VQQ,KVQQ,Cecil,JACKSONVILLE,FL,30.218777777777778,-81.87716666666665,79.5,6,12504,3,47E26404-FBFA-4B02-9890-BB929C41E0EC
LAL,KLAL,Lakeland Linder Intl,LAKELAND,FL,27.98763888888889,-82.019,141.8,3,8500,1,A61CDF50-309F-4759-ACFA-86A9B68CD110
LEE,KLEE,Leesburg Intl,LEESBURG,FL,28.822898055555555,-81.80841749999999,76.0,3,15000,1,7261DDD9-3BA5-4D2A-8951-D0349C1FF82C
GNV,KGNV,Gainesville Rgnl,GAINESVILLE,FL,29.690055555555556,-82.27177777777777,151.4,2,7504,1,E017BC45-38E2-4269-8FE5-59F30CE5189B
LCQ,KLCQ,Lake City Gateway,LAKE CITY,FL,30.182055555555557,-82.57686111111111,200.7,2,8003,1,56BE3364-3C0E-4833-B9DF-E5E445DB9867
MIA,KMIA,Miami Intl,MIAMI,FL,25.795361111111113,-80.29011583333333,9.3,4,13016,4,28A25B5E-8EB8-4F2F-9D2B-3605D2654733
OPF,KOPF,Miami-Opa Locka Exec,MIAMI,FL,25.907416666666666,-80.27822222222223,8.0,3,8002,1,039B278A-17B9-4F46-AA21-329CC7ED2D2C
OCF,KOCF,Ocala Intl-Jim Taylor Fld,OCALA,FL,29.17187638888889,-82.22411444444445,90.1,2,7468,1,8AE04ED0-D39E-4B15-93F7-D1F189FA6260
MCO,KMCO,Orlando Intl,ORLANDO,FL,28.42938888888889,-81.309,96.4,4,12005,4,ED1CB743-2B70-404D-98E9-51F1E4CB4442
SFB,KSFB,Orlando Sanford Intl,ORLANDO,FL,28.777178055555556,-81.23491361111111,54.8,4,11002,1,E081E66F-263E-4B7F-98F7-4C19DA359AE0
ECP,KECP,Northwest Florida Beaches Intl,PANAMA CITY,FL,30.358240833333333,-85.79560222222221,68.8,1,10000,1,4A90E2EF-3ED3-43E4-A712-E38B52360A45
MLB,KMLB,Melbourne Orlando Intl,MELBOURNE,FL,28.10275,-80.64525,33.3,3,10181,1,3ACDEDBD-58E6-4FFF-A8A4-C7CAB20B3299
TNT,KTNT,Dade-Collier Training and Transition,MIAMI,FL,25.861805555555556,-80.897,12.7,1,10499,1,58681702-43A7-4C34-869B-6284B30ACCD2
PNS,KPNS,Pensacola Intl,PENSACOLA,FL,30.473416666666665,-87.18661111111112,120.9,2,7004,2,FA711E9A-0B3C-4A00-8532-8B16EECA8B27
SGJ,KSGJ,St Augustine,ST AUGUSTINE,FL,29.959250277777777,-81.33972916666666,9.8,6,12000,3,556BB8E8-4A7D-4846-A3A2-632E4F29C832
SRQ,KSRQ,Sarasota/Bradenton Intl,SARASOTA/BRADENTON,FL,27.395444444444443,-82.55438888888888,29.9,2,9500,1,84E11735-61D9-4966-8E47-6B2E692C061A
TLH,KTLH,Tallahassee Intl,TALLAHASSEE,FL,30.396754166666668,-84.35086888888888,83.1,2,8000,2,265A7B00-46FF-4744-8673-499589FFA2BF
TPA,KTPA,Tampa Intl,TAMPA,FL,27.975469444444443,-82.5332475,26.5,3,11002,2,94348EF7-5624-41A5-A685-7680EB5F04EB
TIX,KTIX,Space Coast Rgnl,TITUSVILLE,FL,28.5147975,-80.79922722222221,34.0,2,7319,1,0085A59D-ECFA-48A7-BC39-D9B26BA68E6C
VPS,KVPS,Eglin AFB/Destin-Ft Walton Beach,VALPARAISO/DESTIN-FT WALTON BEACH,FL,30.483219416666664,-86.52604433333333,84.0,2,12004,2,FBF53100-E642-4C20-A799-898F121A15A3
PBI,KPBI,Palm Beach Intl,WEST PALM BEACH,FL,26.683161666666667,-80.09559194444444,19.6,3,10001,1,B519FB5D-3A80-48DA-BAC8-80F422C244CD
PGD,KPGD,Punta Gorda,PUNTA GORDA,FL,26.918592500000003,-81.99088611111111,25.5,3,7193,1,61ACA8B2-C391-4D35-95B8-3BFE9B4F805F
PIE,KPIE,St Pete-Clearwater Intl,ST PETERSBURG-CLEARWATER,FL,27.90863361111111,-82.68651,10.7,2,9730,1,6D9B12C2-2E29-47E5-BE8C-B9C12DC8C0E0
