year,airport_id,cargo_lifted_lb,departures,cargo_received_lb,arrivals,total_throughput_lb,total_operations
2020,CMH,0.0,7.0,64976.0,7.0,64976.0,14.0
2020,CMX,127486.0,254.0,284435.0,227.0,411921.0,481.0
2020,CNO,911359.0,55.0,239097.0,49.0,1150456.0,104.0
2020,COD,0.0,0.0,60.0,1.0,60.0,1.0
2020,COS,8701821.0,335.0,11726073.0,508.0,20427894.0,843.0
2020,CPR,11875941.0,1399.0,13345975.0,1326.0,25221916.0,2725.0
2020,CPS,605.0,3.0,358.0,3.0,963.0,6.0
2020,CPX,30244.0,298.0,223102.0,343.0,253346.0,641.0
2020,CRW,15030.0,4.0,585202.0,57.0,600232.0,61.0
2020,CSG,236527.0,262.0,179172.0,258.0,415699.0,520.0
2020,CVG,1273308473.0,17184.0,1306754728.0,18566.0,2580063201.0,35750.0
2020,CVO,606217.0,502.0,88614.0,483.0,694831.0,985.0
2020,CWA,111548.0,249.0,303440.0,247.0,414988.0,496.0
2020,CYF,34428.0,503.0,419627.0,511.0,454055.0,1014.0
2020,CYT,5122.0,2.0,49275.0,4.0,54397.0,6.0
2020,CZF,61038.0,6.0,78862.0,7.0,139900.0,13.0
2020,DAL,398907.0,20.0,401939.0,20.0,800846.0,40.0
2020,DAY,6921199.0,308.0,8129282.0,306.0,15050481.0,614.0
2020,DCA,7030.0,1.0,0.0,1.0,7030.0,2.0
2020,DCU,0.0,9.0,54488.0,10.0,54488.0,19.0
2020,DDC,5702.0,3.0,7822.0,5.0,13524.0,8.0
2020,DEN,240258723.0,5126.0,329851274.0,5536.0,570109997.0,10662.0
2020,DFW,715550205.0,10673.0,791093117.0,11060.0,1506643322.0,21733.0
2020,DGB,0.0,27.0,4008.0,27.0,4008.0,54.0
2020,DHN,155076.0,215.0,1890.0,8.0,156966.0,223.0
2020,DIK,147030.0,253.0,302905.0,252.0,449935.0,505.0
2020,DIO,2511.0,25.0,6912.0,25.0,9423.0,50.0
2020,DLG,5639977.0,1100.0,11723677.0,1184.0,17363654.0,2284.0
2020,DLH,617664.0,251.0,1269485.0,246.0,1887149.0,497.0
2020,DMA,0.0,1.0,0.0,0.0,0.0,1.0
2020,DOV,132150.0,12.0,131601.0,50.0,263751.0,62.0
2020,DPA,85215.0,20.0,7113.0,21.0,92328.0,41.0
2020,DQK,0.0,2.0,0.0,1.0,0.0,3.0
2020,DQL,1400.0,2.0,0.0,12.0,1400.0,14.0
2020,DQP,0.0,11.0,19707.0,10.0,19707.0,21.0
2020,DRG,30712.0,132.0,181348.0,132.0,212060.0,264.0
2020,DRO,812700.0,636.0,1438006.0,995.0,2250706.0,1631.0
2020,DRT,498662.0,505.0,603887.0,465.0,1102549.0,970.0
2020,DSM,34853786.0,853.0,40598675.0,806.0,75452461.0,1659.0
2020,DTO,0.0,9.0,36214.0,9.0,36214.0,18.0
2020,DTW,120569740.0,2534.0,160108007.0,2481.0,280677747.0,5015.0
2020,DUT,634553.0,649.0,2058412.0,656.0,2692965.0,1305.0
2020,EAA,33856.0,220.0,233552.0,220.0,267408.0,440.0
